NAME,yyyymmddhh,PS01,TX01,TX05,RH01,RH02,WD01,WD02,PP01,PP02,RI,RI_pre
WP11,2015070518,990.6,30.8,25,71,31.7,1.5,320,0,0,35,35
WP13,2015080106,1002.5,26.1,21.5,76,25.6,0.1,0,0,0,35,50
WP13,2015080112,1002.6,32.2,23.7,61,29.3,1.9,280,0,0,45,50
WP13,2015080118,1000.2,30.7,20,53,23.4,2.2,330,0,0,50,55
WP13,2015080200,1002,27.1,22.7,77,27.6,0.3,150,0,0,50,45
WP13,2015080206,1003.3,26.5,22.8,80,27.8,0.1,0,0,0,50,30
WP16,2015081518,999.5,27.2,23.8,82,29.5,1.3,150,0,0,35,30
WP20,2015091518,1000.6,29,22.9,70,27.9,2.2,310,0,0,30,30
WP24,2015101500,1005.7,21.8,16.7,73,19,0.9,330,0,0,30,30
WP24,2015101506,1003.8,20.9,16.1,74,18.3,0.9,310,0,0,30,35
WP25,2015101606,1002.5,21,16.2,74,18.4,0.1,0,0,0,30,30
WP25,2015101612,1001.2,29.4,20.4,58,24,1,240,0,0,30,35
WP27,2015111900,1007.7,24.6,21.3,82,25.3,1.2,360,0,0,30,35
WP28,2015121200,1006.8,18.8,14.3,75,16.3,1.8,330,0,0,30,45
WP28,2015121206,1006.9,17.7,15.1,85,17.2,1.2,350,0,0,40,30
WP02,2016070406,1000.1,24.7,23.5,93,28.9,0.1,0,0,0,45,60
WP02,2016070412,999.2,34.2,25.4,60,32.4,1.3,200,0,0,70,30
WP15,2016083112,996.3,31.7,23.6,62,29.1,2,230,0,0,40,30
WP16,2016091006,999.5,24.3,24,98,29.8,0.1,0,0,0,35,60
WP16,2016091012,998.6,31.7,25.9,71,33.4,1.5,180,0,0,40,70
WP16,2016091018,998.7,28.4,23.9,77,29.7,1.2,130,0,0,50,55
WP16,2016091100,999.8,26.8,24.4,87,30.6,1,210,0,0,60,40
WP16,2016091106,999.5,25,23.3,90,28.6,0,0,0,0,60,30
WP21,2016093018,999.5,28.1,22.5,72,27.2,2.2,40,0,0,40,35
WP21,2016100106,1000.6,25.2,23.5,90,28.9,0.8,160,0,0,55,35
WP21,2016100112,1000.2,30.5,24.3,70,30.4,2.9,190,0,0,40,35
WP24,2016101318,1001.7,26.9,21.3,71,25.3,2,10,0,0,35,45
WP24,2016101400,1002.5,24.8,21,79,24.9,1,10,0,0,40,35
WP25,2016101518,999.4,29.2,23.4,71,28.8,1.6,340,0,0,35,35
